CASEY'S                                                     ,Caseys                        ,"511 S WEST ST, Wichita, KS",$2.919
QUIKTRIP #396                                               ,QuikTrip                      ,"324 S WEST ST, Wichita, KS",$2.919
QUIKTRIP #321                                               ,QuikTrip                      ,"6011 W CENTRAL AVE, Wichita, KS",$2.919
Conoco,Conoco                        ,"1622 S WEST ST, Wichita                                 , KS",$2.929
CIRCLE K #1633                                              ,Circle K                      ,"1254 S TYLER RD, Wichita, KS",$2.949
QUIKTRIP #343                                               ,QuikTrip                      ,"242 S TYLER RD, Wichita, KS",$2.949
QUIKTRIP #315                                               ,QuikTrip                      ,"1500 S MAIZE RD, Wichita, KS",$2.949
CIRCLE K #2721636                                           ,Circle K                      ,"4414 W MAPLE ST, Wichita, KS",$2.959
FOOD MART                                                   ,Conoco                        ,"10723 W HIGHWAY 54, Wichita                                 , KS",$2.959
KWIK SHOP #0792 (DISCOUNT AVAILABLE)                        ,Kwik Shop                     ,"277 S RIDGE RD, Wichita, KS",$2.979
SAMS CLUB #8254                                             ,Sams Club                     ,"6200 W KELLOGG DR, Wichita, KS",
PE STATION                                                  ,Unbranded                     ,"731 N RIDGE RD, Wichita                                 , KS",
MIDWAY OIL                                                  ,Unbranded                     ,"3448 W DOUGLAS AVE, Wichita                                 , KS",
